I played football. 														--> OEG, OLG
We ate lots of cake! 													--> OEN, OLG
She didn't watch a film.												--> OEN, OLB
The next train leaves at this evening at 1700 hours.					-->	OEB, OLN
I'll phone you when I get home.											--> OEB, OLG
He is meeting Peter in town this afternoon.								-->	OEG, OLB
I'll come home as soon as I have finished work.							--> OEB, OLB
You will be tired out after you have been working all night.			--> OEN, OLN
The school term starts next week.										-->	OEB, OLG
The train leaves at 1945 this evening.									-->	OEG, OLG
We fly to Paris next week.												-->	OEB, OLB
